frequency_key	representative_expression_key	representative_basic_normalized_text	normalized_text	expression_frequency	document_frequency	publisher_prevalence_count	publisher_sample_count	country_prevalence_count	country_sample_count	value_semantics
frequency.firstbloom-a6cb002-pilot-v1.5fe0f77ef88fe85fbf082b3795c320f772f7880ef5a0a63a34523f82a6c6e5c9	expression.observed.en.sha256_5fe0f77ef88fe85fbf082b3795c320f772f7880ef5a0a63a34523f82a6c6e5c9	green apple reminding of drinking chocolate with marshmallows	green apple reminding of drinking chocolate with marshmallows	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.7c108716fae5e53d49ae1dd561272f8d8df26837eadd53917adc1285355a0dab	expression.observed.en.sha256_7c108716fae5e53d49ae1dd561272f8d8df26837eadd53917adc1285355a0dab	green delicious apple	green delicious apple	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.f2d981154cce80f5533d12cff319d2da4198f9b243e8831e40827cbfc714a5e7	expression.observed.en.sha256_f2d981154cce80f5533d12cff319d2da4198f9b243e8831e40827cbfc714a5e7	green fodder	green fodder	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.92585bfe24e3f8d73f47b2ed72d1e0174754f9f658325f9cea4eef18cafee142	expression.observed.en.sha256_92585bfe24e3f8d73f47b2ed72d1e0174754f9f658325f9cea4eef18cafee142	green grape	green grape	11	11	10	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.afebf68ba311e719fdf893915c8a235d3f99b113b18cb4a7e356a22fe08f8b41	expression.observed.en.sha256_afebf68ba311e719fdf893915c8a235d3f99b113b18cb4a7e356a22fe08f8b41	green grape and cacao	green grape and cacao	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.df1af2abc6597cc486fafaf48bfd3517f90f256dd244c9749b1f42fb061a24e8	expression.observed.en.sha256_df1af2abc6597cc486fafaf48bfd3517f90f256dd244c9749b1f42fb061a24e8	green grapes	green grapes	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.69afc2ce866da3bb0282a3127f8770cbe24e817c40d689df0c15ea221d4d0832	expression.observed.en.sha256_69afc2ce866da3bb0282a3127f8770cbe24e817c40d689df0c15ea221d4d0832	green tea	green tea	10	10	10	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.669865f52a88c6672f60c21b344b16057d1daca1c5f5fff525a1faf02b027f4f	expression.observed.en.sha256_669865f52a88c6672f60c21b344b16057d1daca1c5f5fff525a1faf02b027f4f	grenache	grenache	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.f5d1611232b9b6a31561d4f43f839a36fd3cf71ff9fac86e5c6946ae96545090	expression.observed.en.sha256_f5d1611232b9b6a31561d4f43f839a36fd3cf71ff9fac86e5c6946ae96545090	grenadine	grenadine	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.583c56acddc71cf6e91b2739b6fa9d0a4ababca2de6e0c0ddd176d09944e77b2	expression.observed.en.sha256_583c56acddc71cf6e91b2739b6fa9d0a4ababca2de6e0c0ddd176d09944e77b2	grilled almond	grilled almond	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.d131996340d9381402aaf11a4145211c37ae37e9dcd9087072cc6a9b97e29c74	expression.observed.en.sha256_d131996340d9381402aaf11a4145211c37ae37e9dcd9087072cc6a9b97e29c74	grilled almonds	grilled almonds	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.868e55edb051cc1f87d15519af299af81e47b7fec3b9ef66f4d41bf0c67eb2b6	expression.observed.en.sha256_868e55edb051cc1f87d15519af299af81e47b7fec3b9ef66f4d41bf0c67eb2b6	grilled pineapple	grilled pineapple	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.ffcbef13ca7916ba11eb2ffac1189e3948050bf1d16c14eb9ed8f73d37701e63	expression.observed.en.sha256_ffcbef13ca7916ba11eb2ffac1189e3948050bf1d16c14eb9ed8f73d37701e63	groundcherry	groundcherry	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.0e27150cb1fc10c8366e5924160b7d3c36bc045edf614989b5134136bd719188	expression.observed.en.sha256_0e27150cb1fc10c8366e5924160b7d3c36bc045edf614989b5134136bd719188	guava	guava	17	17	14	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.30f6f6c6dbdb57b364d80ec5c8326e8e8b26e56e16eefd4bf3000a6ffa7fd9cc	expression.observed.en.sha256_30f6f6c6dbdb57b364d80ec5c8326e8e8b26e56e16eefd4bf3000a6ffa7fd9cc	guava and brown sugar	guava and brown sugar	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.1e56a31c2142c47cbebfbe0af99c6b0447030a3bc228c275be470e76788ed662	expression.observed.en.sha256_1e56a31c2142c47cbebfbe0af99c6b0447030a3bc228c275be470e76788ed662	guava and caramelized sugar	guava and caramelized sugar	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.da735cf29ed2ac25ef2d46bf1e3c7f2db6f896637ebacb0e2f235bd6932de6e1	expression.observed.en.sha256_da735cf29ed2ac25ef2d46bf1e3c7f2db6f896637ebacb0e2f235bd6932de6e1	guava and hibiscus	guava and hibiscus	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.d336c89235268d17830980a7d05a063ebf5bd488d127747bd5875bbdc827028c	expression.observed.en.sha256_d336c89235268d17830980a7d05a063ebf5bd488d127747bd5875bbdc827028c	guava and starfruit	guava and starfruit	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.83a1cbb2b2d02d342042c0042aac671146b9941c09820f430afa4a338ce8ebfe	expression.observed.en.sha256_83a1cbb2b2d02d342042c0042aac671146b9941c09820f430afa4a338ce8ebfe	hazelnut	hazelnut	34	34	27	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e3f36e8bbd77f7bf5018abce97ea1fde3af5bdbd976ae90fc8a48af175b81052	expression.observed.en.sha256_e3f36e8bbd77f7bf5018abce97ea1fde3af5bdbd976ae90fc8a48af175b81052	hazelnut and apple	hazelnut and apple	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.12ab3617da216e539a7b4e366797775fb29fe80af7c0eb64793347bc6a5e5941	expression.observed.en.sha256_12ab3617da216e539a7b4e366797775fb29fe80af7c0eb64793347bc6a5e5941	hazelnut and date	hazelnut and date	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.3a67dc384f4480b85f13066b43112d0d38a64073af9477c9a7c7de623597658b	expression.observed.en.sha256_3a67dc384f4480b85f13066b43112d0d38a64073af9477c9a7c7de623597658b	hazelnut butter	hazelnut butter	2	2	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.edac42e5df50683d01e8800a6f4c37484cdb2f4ffb123a86420d5b30564f6b4b	expression.observed.en.sha256_edac42e5df50683d01e8800a6f4c37484cdb2f4ffb123a86420d5b30564f6b4b	hazelnut nougat	hazelnut nougat	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.7a2be4e60db3a98f2223e8d727ff163c8150add069385236f02c97e1b5fbd44f	expression.observed.en.sha256_7a2be4e60db3a98f2223e8d727ff163c8150add069385236f02c97e1b5fbd44f	hazelnuts	hazelnuts	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.22d5925ed64680ab5f3f6de713645a3d72cae7a9506b8a55a0d4fe950737711b	expression.observed.en.sha256_22d5925ed64680ab5f3f6de713645a3d72cae7a9506b8a55a0d4fe950737711b	heavy	heavy	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.dcaecc3ba9958606018c05b33dc60ba0e387ab7ae160516b30abb580ed773e65	expression.observed.en.sha256_dcaecc3ba9958606018c05b33dc60ba0e387ab7ae160516b30abb580ed773e65	heavy body	heavy body	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.8535969433c43615f3cf4e6fbbf9c137d3788fb252a2f9b9d53ab64e0bbb4fe7	expression.observed.en.sha256_8535969433c43615f3cf4e6fbbf9c137d3788fb252a2f9b9d53ab64e0bbb4fe7	heavy body with notes of dark chocolate	heavy body with notes of dark chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a7bf9802e427a3dbbc6c670309ad92bb7abac45dc515e5ba97c95dfb897c5f3b	expression.observed.en.sha256_a7bf9802e427a3dbbc6c670309ad92bb7abac45dc515e5ba97c95dfb897c5f3b	herbaceous + complex	herbaceous + complex	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.b1123b42a6d1bb3e5e45c40353a2bbe668e240933f735d4d48dbc2563e3c9310	expression.observed.en.sha256_b1123b42a6d1bb3e5e45c40353a2bbe668e240933f735d4d48dbc2563e3c9310	herbal	herbal	3	3	3	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.c9452dcec3d330f089036f5bdd23c12a421cee51c316169199a3a1596b52e4bb	expression.observed.en.sha256_c9452dcec3d330f089036f5bdd23c12a421cee51c316169199a3a1596b52e4bb	hibiscus	hibiscus	20	20	18	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.f9e4eccca6ddab409ed17f3aebfb410465acf4f95532c37aa17e96340faeb102	expression.observed.en.sha256_f9e4eccca6ddab409ed17f3aebfb410465acf4f95532c37aa17e96340faeb102	hibiscus and honey	hibiscus and honey	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.576d04a7ca7e8dac25b1c07357de09f0822ec22c2aaeb7bc9803cf1227857670	expression.observed.en.sha256_576d04a7ca7e8dac25b1c07357de09f0822ec22c2aaeb7bc9803cf1227857670	high sweetness and complex	high sweetness and complex	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.32704e3c754e541b541e97cefdc8fa486c9a71eb40a84b34be01217122d350b4	expression.observed.en.sha256_32704e3c754e541b541e97cefdc8fa486c9a71eb40a84b34be01217122d350b4	hints of pink fruits	hints of pink fruits	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	expression.observed.en.sha256_a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	honey	honey	103	103	69	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.381ece133e0ec5b27803beda3370dc520be50ecf8495b314bfe90d63b2ed39a3	expression.observed.en.sha256_381ece133e0ec5b27803beda3370dc520be50ecf8495b314bfe90d63b2ed39a3	honey + red grape	honey + red grape	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e7636c3dc86a50de1b5c9fc1a0c492b8a39f2d5c4c4149e134afb6be763ec1ac	expression.observed.en.sha256_e7636c3dc86a50de1b5c9fc1a0c492b8a39f2d5c4c4149e134afb6be763ec1ac	honey aftertastes	honey aftertastes	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.2d5c3013996e73c84fe25ca91828833706ed84c49c6fb13ec89fb9d1bdf97205	expression.observed.en.sha256_2d5c3013996e73c84fe25ca91828833706ed84c49c6fb13ec89fb9d1bdf97205	honey and almond	honey and almond	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.22a6742df100b2b56993475c06018f47193b50324a0cbbff7fa0b075f0e1b5a9	expression.observed.en.sha256_22a6742df100b2b56993475c06018f47193b50324a0cbbff7fa0b075f0e1b5a9	honey and black tea	honey and black tea	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.379af788cb70ae5228640d23796399c3ec01775ae86ff235ae79d2432b604980	expression.observed.en.sha256_379af788cb70ae5228640d23796399c3ec01775ae86ff235ae79d2432b604980	honey and cherry	honey and cherry	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.9adc847505c7473e94282884b63645b0d539e078e4de27448819e35cf4c79e75	expression.observed.en.sha256_9adc847505c7473e94282884b63645b0d539e078e4de27448819e35cf4c79e75	honey and five spice	honey and five spice	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.b10af85571173692196b0e99c45403f293f1dd386993ae252cc61d72e30ceaac	expression.observed.en.sha256_b10af85571173692196b0e99c45403f293f1dd386993ae252cc61d72e30ceaac	honey and gala apple	honey and gala apple	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.69f12be3c0d9ee085ffc44ced06ab597f0d310ab17fbf0ea76ac5f6e5940983e	expression.observed.en.sha256_69f12be3c0d9ee085ffc44ced06ab597f0d310ab17fbf0ea76ac5f6e5940983e	honey and grapes	honey and grapes	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.d47f9b6bd31851d872188d2c9c085e1137dbe070e31329d90316ef6aef7dfc23	expression.observed.en.sha256_d47f9b6bd31851d872188d2c9c085e1137dbe070e31329d90316ef6aef7dfc23	honey and magnolia	honey and magnolia	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.96f2fa30f7a490633c8fac8413c319a885055cd9055edb0f8fca4eedc43d4874	expression.observed.en.sha256_96f2fa30f7a490633c8fac8413c319a885055cd9055edb0f8fca4eedc43d4874	honey and oranges	honey and oranges	2	2	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.2d7d99d277c33bdecd6d18ba297d174b44e9aaeea66ffbba6b050b57c9e5d429	expression.observed.en.sha256_2d7d99d277c33bdecd6d18ba297d174b44e9aaeea66ffbba6b050b57c9e5d429	honey and papaya	honey and papaya	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6d8872aa36744ee2fb6e1678566fdab5194bd3914981dd98db183b3e195b4e39	expression.observed.en.sha256_6d8872aa36744ee2fb6e1678566fdab5194bd3914981dd98db183b3e195b4e39	honey and peach	honey and peach	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.8e9d9267b093b4eefa17c035582b30bac7278db12a8e84bbc7f2dfb271e8db6d	expression.observed.en.sha256_8e9d9267b093b4eefa17c035582b30bac7278db12a8e84bbc7f2dfb271e8db6d	honey and pecan	honey and pecan	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6bfeba6a6f4eb81d90e5b3235ad0c2fe2661b8d2711ee2ba2ac9b0899621a944	expression.observed.en.sha256_6bfeba6a6f4eb81d90e5b3235ad0c2fe2661b8d2711ee2ba2ac9b0899621a944	honey and pineapple	honey and pineapple	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.c9c7a581eb0ed54b074115279fc6492ee9d5656a5a3625dd2822d825ba7e070e	expression.observed.en.sha256_c9c7a581eb0ed54b074115279fc6492ee9d5656a5a3625dd2822d825ba7e070e	honey and white peach	honey and white peach	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.88aca6433730650431486465576bfe5a35d1b183f7545b684c6830067aab5aa2	expression.observed.en.sha256_88aca6433730650431486465576bfe5a35d1b183f7545b684c6830067aab5aa2	honey aroma	honey aroma	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a2683078670a6c0019ab19327317715a5cc53adf6db564cb45edf4e63a8979a9	expression.observed.en.sha256_a2683078670a6c0019ab19327317715a5cc53adf6db564cb45edf4e63a8979a9	honey candy and black currant	honey candy and black currant	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.fe9bc38ed7f5178ec88871477a1aa098300d9a5acf6cebda0d3e049cb30dd554	expression.observed.en.sha256_fe9bc38ed7f5178ec88871477a1aa098300d9a5acf6cebda0d3e049cb30dd554	honey melon	honey melon	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.84a677f3806147471d2ad40f2c071db1b6ea57969ffca0106fa07021fb4becbb	expression.observed.en.sha256_84a677f3806147471d2ad40f2c071db1b6ea57969ffca0106fa07021fb4becbb	honey sweetness	honey sweetness	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a6b17a039cbb1afdffd766142183d83684417501cf66e0e0a8e84024fef42942	expression.observed.en.sha256_a6b17a039cbb1afdffd766142183d83684417501cf66e0e0a8e84024fef42942	honey-blossom	honey-blossom	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.dd0cf4ed95b64c54deaf78a11f36e9ad990380df730f1ae34aa7a38afc9ce383	expression.observed.en.sha256_dd0cf4ed95b64c54deaf78a11f36e9ad990380df730f1ae34aa7a38afc9ce383	honeycomb	honeycomb	5	5	5	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.4c2bcbd82206a1b4bd2d7fccc36fb7b98765f11de84616efbf323affb21d9a8f	expression.observed.en.sha256_4c2bcbd82206a1b4bd2d7fccc36fb7b98765f11de84616efbf323affb21d9a8f	honeycomb toffee	honeycomb toffee	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.433e26a6099b787a0594faae832ba2aceade74485d924232133b5fc5e861add1	expression.observed.en.sha256_433e26a6099b787a0594faae832ba2aceade74485d924232133b5fc5e861add1	honeycrisp apple	honeycrisp apple	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.99a5ec8dee37605d9718ee4d9bcee84fcf1af8b5ead8353e8163229a6087fec9	expression.observed.en.sha256_99a5ec8dee37605d9718ee4d9bcee84fcf1af8b5ead8353e8163229a6087fec9	honeydew	honeydew	11	11	10	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6aa36afb63c01bccc8d7d930e7437edd6e4af9293967e7f86488bfeafc3fdf58	expression.observed.en.sha256_6aa36afb63c01bccc8d7d930e7437edd6e4af9293967e7f86488bfeafc3fdf58	honeydew and lilac	honeydew and lilac	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.8371b511f8bee9c0a5aba95dbe0a9c9fe2aeb3d5c100862c90d3a8fb93a775a4	expression.observed.en.sha256_8371b511f8bee9c0a5aba95dbe0a9c9fe2aeb3d5c100862c90d3a8fb93a775a4	honeydew and winy	honeydew and winy	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.35e06e42afa827fe993fc7375b9460d9c4d28915ae07e95543552a64d8e228ea	expression.observed.en.sha256_35e06e42afa827fe993fc7375b9460d9c4d28915ae07e95543552a64d8e228ea	honeydew melon	honeydew melon	6	6	6	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.5fcda69d12809e7bfe92151d310cddc0adfa682d9e10dfd0203cbacc4c75c6ac	expression.observed.en.sha256_5fcda69d12809e7bfe92151d310cddc0adfa682d9e10dfd0203cbacc4c75c6ac	honeydew melon and floral	honeydew melon and floral	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.3efaf748979e929f47a9bcd1bac5c3abd35bbd923aeac977a50cb7382e2570f0	expression.observed.en.sha256_3efaf748979e929f47a9bcd1bac5c3abd35bbd923aeac977a50cb7382e2570f0	honeysuckle	honeysuckle	11	11	11	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a1fd72ff65192064693d208f6065aff751f5208da0d6f15eb7b48349bd176a5c	expression.observed.en.sha256_a1fd72ff65192064693d208f6065aff751f5208da0d6f15eb7b48349bd176a5c	honeysuckle & macadamia	honeysuckle & macadamia	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.d94045e78882bcfda148fc0fccd6359b313b50f4f8362d1e406f079a5d01b04a	expression.observed.en.sha256_d94045e78882bcfda148fc0fccd6359b313b50f4f8362d1e406f079a5d01b04a	honeysuckle and agave	honeysuckle and agave	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.03f9b3509b14d731ffc13cf510b85e3d4f12282e314403d450bda3757d378f0d	expression.observed.en.sha256_03f9b3509b14d731ffc13cf510b85e3d4f12282e314403d450bda3757d378f0d	honeysuckle and dark chocolate	honeysuckle and dark chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.eb05b302a46e57b2872c83fd031a5816685a5a7e7d8e2e40e8dd86864f42c928	expression.observed.en.sha256_eb05b302a46e57b2872c83fd031a5816685a5a7e7d8e2e40e8dd86864f42c928	honeysuckle and rose aroma	honeysuckle and rose aroma	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a1245ed1440c54cea2e06f98d1d8087d4662fa689e8559ce39f39e167ab5ef88	expression.observed.en.sha256_a1245ed1440c54cea2e06f98d1d8087d4662fa689e8559ce39f39e167ab5ef88	hoppy	hoppy	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e1217313f31a37c318be50f46ede026b2400943d424f5d9bb215de58521699b5	expression.observed.en.sha256_e1217313f31a37c318be50f46ede026b2400943d424f5d9bb215de58521699b5	hot cocoa	hot cocoa	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.f0b4367b4f4762733542dcbcf98ba0e1ff479403e6703c2a4b9057536d0a264a	expression.observed.en.sha256_f0b4367b4f4762733542dcbcf98ba0e1ff479403e6703c2a4b9057536d0a264a	huckleberry	huckleberry	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
