cleaned_descriptor_identity	canonical_concept_id	semantic_class	mapping_state	cleaned_assertion_support	effective_record_support	source_family_support	year_support	gold_support	silver_support	bronze_support	rights_affirmative_support	rights_pending_support	rights_unknown_support
cleaned-form:3bafc5c90cd5ac43ef85c2fa		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3bb00ea7d8de5ffc4fd6741f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3bc697cc21db987f16ce6472		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3c251b5d76ba5445a97b2375		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3c6ae823e524f27dfd8999a4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3d076879880d1f96ca7d0dca		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3d73a4af0ea962d4c123cf16		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:3d9a47b1663482bb3d48851f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:3db7442762749d2eee28e5ae		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3db7c665a055230d0eae829f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3e03a136f5d65d8390178820		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3e32349ca27d5e76cc5b980d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3e33461c27125f037fffb982		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3e483493073f09174ce96dc6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3e8c84d3dbc84b1dd5a6092d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3ecd51adbe3a1c30f58b63e3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3ed7ddb04ac72d40e90a22e9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3f0becf351e51a50283e03b6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:3f76c1eb78bfdfbdce007441		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:3fb7519a3131856da96dcf4d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:3fc559f88d3f98e77eeda160		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4112def1b33baac0763f2244		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:412d075698b052aea40d1ad7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:412e4faa15dd779bd4a0b07d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:414bf52a1ed8c0002ef978d7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:415c8c2093f06e807f2855fb		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:41cb28d60d4449fce2da6429		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:41cc3739a288ee617c9334a2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:41d0499c1e4e5c57f8ff4dfa		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:41d098a07bbc5b851d19bd62		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:421df2e6ba578a7d3bfd2c53		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:42a1fd3b5264e5620f2cb817		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:42ae022a3241fb104a021fc7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:42d006a11c3e2e17ff9a587c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:42e2cc9e8d9870b6a4f2a21c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:42ea5be17c3012236efe2e44		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4328558a39af0f49a2da1e61		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:43864f37b772885721d10653		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:4420d38487807571cdc26091		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4432f4e6b6f133d0e3b95c67		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:44910b71fccd1a679637bdec		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:449d9c23db541e68ae895885		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:450cdd46daff5f039977ab52		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:4544a9d1bce17522b99e89f9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:455e4a701979bb1766312c8e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:459129c68c08c9f534a25ad7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	0	1	0	0	1
cleaned-form:45bb9ac3094ef0d6123476c3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:45e84635bc4803c5cc5d456c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:45f8c1b9a7a31a1f44694605		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:45fa6790cb0bee3b3bf143ae		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4611d2948204c7f7ad63b76e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4624eae8e77ea8b6181d2d09		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:463ad7f2d1e703600cd27bbd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4640ad5db2114beccc27c216		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4679b0c213710571c2dfe9a0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4715b734085d8d9c9981d91c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:471fd55236048438cb568885		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:47ae30e148833d38ed8bb9c7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:47cfb4a6fc230e5b89ecdf3a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:47fed41bbc5165bfaf7f6de1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4801005928af7454e50d87d9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:48521c8fecf29691eacdad56		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4943e60532825f98c4c80c00		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:49622762cb219a4ca3bd56eb		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4985831a890199aa8b84a302		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:49dbc3387a8078d427f82379		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:49fa8591b5425fff353328da		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4a07a4310034102668a862f2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4a14efa69c539ed7c6f53189		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4a411484407368ea2861cf62		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4a471185901f1dd04d2ad2d8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4a75f1a654e85ca6e7ae37b1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4a9f1c94ae75f17b231dab9e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4ada66c0bfeab58f412102fc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4b1200e34b8d2d82988bc940		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4b520989ee53cb08b1d72916		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4b841e753464cf25dc98e57f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4bca4b649b79210d85576dce		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4bfe5fd01499220d292429d7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4c2139acb83de53baca52d74		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4c351bd41e02b75ad7da29ab		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4c4799944264ea89f6e34d1d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4c570be7074c2e289657d109		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4c6b5eb84f386200c2194905		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4c8ab7526497054baf9c93de		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4ccfefd1e921af0eed3f32ad		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4cd33bf860e8f40fadb3645a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4ce5019f09edebc793f1b905		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4d2ca85cd26ae57983d3bc1c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4d366aaef9547f14828cf5fe		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4d3b820d7a4738eac4c8f8c1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	0	1	0	0	1
cleaned-form:4d3ca8a3f3cfb5f84b1adf01		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4d5649b06529aef2586fbe13		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4d88ccaf474772049dc25e5c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4db07ace0e52063859d19187		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4dba027f586f90eb527cfdf8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4ddee7ef2ec4fc335afd8e0d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4e0d210a4cfaf7d785e1c383		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4e0f68d486912594ff215ac3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4e7d92dde35af0f2d66e10fa		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4e934c3a09c0e511960aadee		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4ee210159ebaf53dd08ce996		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4ef32c98233eddb8dd229a61		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4f5c67b91d5632fbd33e40b1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4f845901a32d22a27cf0764b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4fdd826f669d8831fce3dd0e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:4fdde40c07db8476c3906bb6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:4feb5497cabfc4a88888c8d1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:502d21667c9a9679a23a7200		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:507a6ad50c56a959a3725b5f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:50954f6c973b9fe25d37b5f5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5096d0bd22260e0ee162b271		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:509c701f67918dfe56a8fef0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:509f678aea076ce17568e5c0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:50cc94d3af660bc59866b6dc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:50f3c524bcc26ee2c9f09187		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	0	1	0	0	1
cleaned-form:50f647b620f9909618938211		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:511bc6925441f1aca85e3240		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5163d29a557fa85f0141008b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:51c1bb4bd991bae2320a8baf		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:51eba51f6bd6e1cf7667a6ab		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5221409b64943f25d1fb90d8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:52554b88e17f76b0da5127d0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:525599e23cd6e47db21b12dc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:527700c346738791eff0ed98		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:52c04631c64de4fca31d5d5e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:534ba2eec5150dabdc121b3c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:534db12f269e13893841e9fc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:536a034c040b2403fb6e365e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:538ae409f3e9595ee2f7177d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:53bb1a58602e9314ca3e6830		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:53d38135f873a7d0ac98660a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:541279f71d21d8750d8c5f2f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:541dec531a07e881f1143696		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:542306d84f1ead0bcbd3ffac		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5443775e83a1e2c4943e43c0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:54551dd503ea950b7f469f58		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5484cac2aa97b416ac45f9fe		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:54b584d10a3d4f2cae05409b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:54c9e847ed79c5c2d4a4b323		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:553695aa56d7db4f65c6cb6b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:55443615113dad3b9a358289		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:55e235718755b844b26255f3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:56146bd60e67e17399186857		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:563ade719ff3a8255f947a33		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5663523a5e71495fd0986e31		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:56b00abf2e22e4b77c109707		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:56dbd49b3e77163dc502af1d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5735e19037c96954356e0500		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:577cc51988beb9c8500adb2f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5795b07249101ff3a8efedbe		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:579b58851d10cef1797efdd0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:580ae2f1fc14cf0ab40bc797		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5812dd7769cc14d4aeb3b67a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:58962ae5072813cd5ac22e38		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:58d924d853ff3c209eda45f3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5946195f4bda97a37175a3e6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:59713e9e10512d83f5e1057b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5977934c0d0a72eb4bc37cd7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:598ba1a20e8292c316f1382b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:599492630016286ccf4df675		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:59d98c516f8b4e28e5548bbc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:59eee94f953c11d14f3f823e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:5a0760f0478c7c2dc5db73b6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5a62a69e58a81ce03895657f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5a892d0a8ca685d7da843106		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5a996574c9390a4bd24bc210		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:5ad38304b535c2987dbd2465		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:5af1ac0479f8e93582519b06		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:5b5108992085aa91eeeacea4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:5b597a1ea34683ca24932720		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:5b88879d985939619005e167		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5bbff4bafa98bc2906bb5e3a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5bd936ef56964cda05e7b41e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5bf984ae9a9589b92d3a3e9d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:5c0349293139d6e1d62c6ca5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5c18a07420103b5da55e5ac1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5c679610f9badb6325573b94		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5ca8ca95762792a731884fe8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5cb2c9655c6f3e382349f45f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5d26a0fe6f45e4403fb6b47c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5d82fd658ace237156d137ab		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5dbad7df033e4d557c5204a7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5de5ea58b8d48d2d3430404f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5e0617a0468025cb5141c684		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5e580eee1a39851ef636172a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5e5d09be92c2317f04e8fef5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5e62d5f1eef5abfa86ad3cc9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:5e6eeffd18574d641c1f14db		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5e79cca52bb4ec5614e79d0e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:5e979f72abbd4f1b92171e8d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
